nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused,
0,20129.29688,1,0,0,0,9,29.27,FF,0,0,396062,28.966,16859.45313,0
0,20129.6875,1,0,0,0,9,33.278,FF,0,0,446049,32.907,16859.625,0
0,20129.5,1,0,0,0,9,10.95,FF,0,0,150444,10.826,16859.5,0
0,20129.40625,1,0,0,0,9,4.092,FF,0,0,55420,4.038,16881.3125,0
0,20129.60938,1,0,0,0,9,47.27,FF,0,0,650053,46.796,16859.82813,0
0,20129.6875,1,0,0,0,9,7.481,FF,0,0,104175,7.391,16881.28125,0
0,20129.45313,1,0,0,0,9,9.792,FF,0,0,134259,9.68,16881.04688,0
0,20129.5,1,0,0,0,9,9.831,FF,0,0,134413,9.717,16881.34375,0
0,20129.26563,1,0,0,0,9,17.618,FF,0,0,238260,17.431,16859.39063,0
0,20129.4375,1,0,0,0,9,13.816,FF,0,0,193842,13.659,16859.65625,0
0,20129.60938,1,0,0,0,9,33.481,FF,0,0,458343,33.144,16859.76563,0
0,20129.21875,1,0,0,0,9,3.231,FF,0,0,44356,3.186,16881.03125,0
0,20129.79688,1,0,0,0,9,66.268,FF,0,0,862048,65.559,16859.95313,0
0,20129.20313,1,0,0,0,9,10.709,FF,0,0,126917,10.568,16859.42188,0
0,20129.29688,1,0,0,0,9,9.171,FF,0,0,108065,9.029,16859.51563,0
0,20129.32813,1,0,0,0,9,7.73,FF,0,0,92294,7.616,16881.17188,0
0,20129.98438,1,0,0,0,9,18.121,FF,0,0,218116,17.892,16859.92188,0
0,20129.34375,1,0,0,0,9,14.625,FF,0,0,178130,14.445,16859.53125,0
0,20129.29688,1,0,0,0,9,50.525,FF,0,0,616311,49.939,16859.45313,0
0,20129.51563,1,0,0,0,9,18.025,FF,0,0,210478,17.805,16859.67188,0
0,20129.48438,1,0,0,0,9,13.43,FF,0,0,158285,13.27,16859.67188,0
0,20129.48438,1,0,0,0,9,84.591,FF,0,1,1000000,83.559,16859.64063,1
0,20129.73438,1,0,0,0,9,6.232,FF,0,0,74109,6.15,16881.64063,0
0,20129.29688,1,0,0,0,9,14.018,FF,0,0,170123,13.8,16859.45313,0
0,20129.46875,1,0,0,0,9,24.985,FF,0,0,296074,24.677,16859.71875,0
0,20129.79688,1,0,0,0,9,84.414,FF,0,1,1000000,83.417,16859.67188,1
0,20129.51563,1,0,0,0,9,15.647,FF,0,0,192594,15.429,16859.67188,0
0,20129.51563,1,0,0,0,9,84.6,FF,0,1,1000000,83.616,16859.76563,1
0,20129.42188,1,0,0,0,9,84.744,FF,0,2,1000000,83.777,16859.64063,1
0,20129.59375,1,0,0,0,9,31.012,FF,0,0,374099,30.654,16863.75,0
0,20129.57813,1,0,0,0,9,12.199,FF,0,0,150118,12.022,16859.51563,0
0,20129.35938,1,0,0,0,9,9.558,FF,0,0,112396,9.43,16881.23438,0
0,20129.82813,1,0,0,0,9,18.889,FF,0,0,228239,18.648,16859.79688,0
0,20129.57813,1,0,0,0,9,17.787,FF,0,0,216145,17.553,16859.76563,0
0,20129.21875,1,0,0,0,9,29.3,FF,0,0,350222,28.956,16859.46875,0
0,20129.17188,1,0,0,0,9,4.194,FF,0,0,48596,4.134,16881.04688,0
0,20129.4375,1,0,0,0,9,13.487,FF,0,0,160451,13.322,16859.65625,0
0,20129.73438,1,0,0,0,9,58.773,FF,0,0,702203,58.051,16863.90625,0
0,20129.35938,1,0,0,0,9,80.309,FF,0,1,1000000,79.347,16859.51563,1
0,20129.76563,1,0,0,0,9,6.446,FF,0,0,78449,6.357,16881.57813,0
0,20129.35938,1,0,0,0,9,23.168,FF,0,0,286051,22.831,16859.53125,0
0,20129.29688,1,0,0,0,9,4.037,FF,0,0,48283,3.972,16881.14063,0
0,20129.32813,1,0,0,0,9,6.026,FF,0,0,74195,5.923,16881.14063,0
0,20129.20313,1,0,0,0,9,83.668,FF,0,1,1000000,82.604,16855.42188,1
0,20129.39063,1,0,0,0,9,82.589,FF,0,1,1000000,81.582,16859.54688,1
0,20129.29688,1,0,0,0,9,76.103,FF,0,0,906136,75.181,16859.48438,0
0,20129.39063,1,0,0,0,9,84.826,FF,0,2,1000000,83.792,16859.57813,1
0,20129.46875,1,0,0,0,9,23.085,FF,0,0,276325,22.812,16859.65625,0
0,20129.32813,1,0,0,0,9,35.12,FF,0,0,430133,34.671,16859.57813,0
0,20129.32813,1,0,0,0,9,3.058,FF,0,0,36025,3.01,16881.17188,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,84
