nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused,
0,20129.40625,1,0,0,0,9,26.058,FF,0,0,362113,25.787,16859.57813,0
0,20129.79688,1,0,0,0,9,9.991,FF,0,0,140062,9.874,16859.79688,0
0,20129.71875,1,0,0,0,9,12.443,FF,0,0,180187,12.299,16859.6875,0
0,20129.75,1,0,0,0,9,28.261,FF,0,0,384269,27.965,16859.75,0
0,20129.64063,1,0,0,0,9,22.894,FF,0,0,324026,22.652,16859.82813,0
0,20129.45313,1,0,0,0,9,23.812,FF,0,0,340159,23.558,16859.67188,0
0,20129.57813,1,0,0,0,9,38.798,FF,0,0,540303,38.398,16863.75,0
0,20129.35938,1,0,0,0,9,8.242,FF,0,0,118656,8.143,16881.26563,0
0,20129.42188,1,0,0,0,9,6.375,FF,0,0,90061,6.298,16881.23438,0
0,20129.35938,1,0,0,0,9,17.094,FF,0,0,240068,16.909,16859.65625,0
0,20129.60938,1,0,0,0,9,72.65,FF,0,4,1000000,71.911,16859.89063,1
0,20129.39063,1,0,0,0,9,9.711,FF,0,0,140148,9.597,16881.20313,0
0,20129.60938,1,0,0,0,9,72.123,FF,0,1,1000000,71.415,16859.82813,1
0,20129.48438,1,0,0,0,9,12.396,FF,0,0,178071,12.256,16859.64063,0
0,20129.42188,1,0,0,0,9,6.721,FF,0,0,96841,6.637,16881.26563,0
0,20129.60938,1,0,0,0,9,6.034,FF,0,0,84672,5.965,16881.23438,0
0,20129.70313,1,0,0,0,9,72.368,FF,0,2,1000000,71.651,16859.64063,1
0,20129.21875,1,0,0,0,9,73.104,FF,0,1,1000000,72.362,16859.375,1
0,20129.48438,1,0,0,0,9,10.713,FF,0,0,154789,10.589,16859.70313,0
0,20129.1875,1,0,0,0,9,6.787,FF,0,0,96434,6.707,16881.04688,0
0,20129.65625,1,0,0,0,9,29.341,FF,0,0,416268,29.032,16859.84375,0
0,20129.32813,1,0,0,0,9,24.905,FF,0,0,344130,24.652,16859.48438,0
0,20129.84375,1,0,0,0,9,60.045,FF,0,0,836039,59.45,16859.78125,0
0,20129.51563,1,0,0,0,9,11.916,FF,0,0,168481,11.778,16859.67188,0
0,20129.40625,1,0,0,0,9,35.943,FF,0,0,492132,35.562,16859.5625,0
0,20129.67188,1,0,0,0,9,11.604,FF,0,0,158124,11.478,16859.64063,0
0,20129.5625,1,0,0,0,9,13.585,FF,0,0,188197,13.434,16859.75,0
0,20129.375,1,0,0,0,9,3.739,FF,0,0,52214,3.692,16881.15625,0
0,20129.34375,1,0,0,0,9,6.105,FF,0,0,84099,6.031,16881.15625,0
0,20129.4375,1,0,0,0,9,5.783,FF,0,0,80425,5.711,16881.28125,0
0,20129.75,1,0,0,0,9,9.312,FF,0,0,128173,9.205,16881.3125,0
0,20129.48438,1,0,0,0,9,10.014,FF,0,0,138622,9.899,16867.67188,0
0,20129.5,1,0,0,0,9,21.432,FF,0,0,296352,21.199,16859.6875,0
0,20129.29688,1,0,0,0,9,9.049,FF,0,0,126008,8.943,16881.14063,0
0,20129.25,1,0,0,0,9,74.179,FF,0,2,1000000,73.454,16859.53125,1
0,20129.09375,1,0,0,0,9,27.898,FF,0,0,380793,27.6,16859.375,0
0,20129.42188,1,0,0,0,9,73.528,FF,0,0,976334,72.778,16863.57813,0
0,20129.29688,1,0,0,0,9,9.393,FF,0,0,132236,9.282,16881.10938,0
0,20129.54688,1,0,0,0,9,30.198,FF,0,0,418247,29.892,16859.76563,0
0,20129.53125,1,0,0,0,9,9.845,FF,0,0,136395,9.727,16881.34375,0
0,20129.39063,1,0,0,0,9,5.886,FF,0,0,82924,5.814,16881.23438,0
0,20129.26563,1,0,0,0,9,29.656,FF,0,0,404116,29.349,16863.45313,0
0,20129.39063,1,0,0,0,9,11.222,FF,0,0,156135,11.096,16859.60938,0
0,20129.32813,1,0,0,0,9,8.55,FF,0,0,118833,8.446,16881.20313,0
0,20129.29688,1,0,0,0,9,19.389,FF,0,0,264584,19.184,16859.64063,0
0,20129.29688,1,0,0,0,9,33.871,FF,0,0,472164,33.525,16861.04688,0
0,20129.5625,1,0,0,0,9,38.78,FF,0,0,538504,38.382,16859.6875,0
0,20129.40625,1,0,0,0,9,21.886,FF,0,0,304021,21.648,16859.60938,0
0,20129.57813,1,0,0,0,9,53.206,FF,0,0,722040,52.691,16859.76563,0
0,20128.98438,1,0,0,0,9,14.438,FF,0,0,204145,14.276,16859.20313,0
,,,,,,,,,,,,,,
,,,,,,,,,,,345831.88,24.76366,,90
