ll
m5_1_1 	63 	63 	184.00
m5_1_2 	48 	48 	151.12
m5_1_3 	16384 	16384 	29.32
m5_1_4 	16384 	16384 	112.34
m5_1_5 	16384 	16384 	420.00
m5_1_6 	16384 	16384 	58.19
m5_1_7 	16384 	16384 	0.00
m5_1_8 	16384 	16384 	25.47
m5_1_9 	48 	48 	132.25
m5_1_10 	16384 	16384 	28.44
m5_2_1 	16384 	16384 	102.47
m5_2_2 	16384 	16384 	148.25
m5_2_3 	16384 	16384 	77.53
m5_2_4 	16384 	16384 	353.59
m5_2_5 	16384 	16384 	32.29
m5_2_6 	47 	47 	24.56
m5_2_7 	16384 	16384 	56.15
m5_2_8 	16384 	16384 	221.12
m5_2_9 	16384 	16384 	148.50
m5_2_10 	16384 	16384 	36.37
m5_3_1 	16384 	16384 	110.03
m5_3_2 	16384 	16384 	129.60
m5_3_3 	16384 	16384 	38.63
m5_3_4 	16384 	16384 	19.66
m5_3_5 	16384 	16384 	340.63
m5_3_6 	28 	28 	26.91
m5_3_7 	32 	32 	377.03
m5_3_8 	16384 	16384 	217.47
m5_3_9 	16384 	16384 	42.37
m5_3_10 	16384 	16384 	75.72
m5_4_1 	16384 	16384 	112.00
m5_4_2 	30 	30 	199.09
m5_4_3 	43 	43 	42.25
m5_4_4 	16384 	16384 	484.53
m5_4_5 	32 	32 	193.91
m5_4_6 	16384 	16384 	29.13
m5_4_7 	16384 	16384 	200.72
m5_4_8 	16384 	16384 	74.93
m5_4_9 	30 	30 	292.75
m5_4_10 	16384 	16384 	89.13
m5_5_1 	16384 	16384 	39.03
m5_5_2 	53 	53 	3598.35
m5_5_3 	16384 	16384 	38.59
m5_5_4 	56 	56 	509.03
m5_5_5 	45 	45 	129.19
m5_5_6 	16384 	16384 	91.25
m5_5_7 	16384 	16384 	122.59
m5_5_8 	16384 	16384 	763.97
m5_5_9 	16384 	16384 	887.43
m5_5_10 	48 	48 	926.47
m5_6_1 	16384 	16384 	239.69
m5_6_2 	16384 	16384 	286.09
m5_6_3 	16384 	16384 	2763.35
m5_6_4 	16384 	16384 	43.31
m5_6_5 	32 	32 	913.40
